S/N, Subject Code ,Subject Title ,Group, Take-home Exam Date, Take-home Exam Time
1,BHMH1021,Personal Financial Planning,101,16-Dec-20,15:30-18:45
2,BHMH1021,Personal Financial Planning,A01,16-Dec-20,15:30-18:45
3,BHMH1021,Personal Financial Planning,A02,16-Dec-20,15:30-18:45
4,BHMH1102,Hotel Operations,A01,20-Dec-20,15:15-18:30
5,BHMH1102,Hotel Operations,A02,20-Dec-20,15:15-18:30
6,BHMH2001,Introduction to Chinese Political and Legal System,101,15-Dec-20,09:30-12:45
7,BHMH2002,Introduction to Economics,101,12-Dec-20,09:30-13:00
8,BHMH2002,Introduction to Economics,102,12-Dec-20,09:30-13:00
9,BHMH2002,Introduction to Economics,103,12-Dec-20,09:30-13:00
10,BHMH2002,Introduction to Economics,A01,12-Dec-20,09:30-13:00
11,BHMH2002,Introduction to Economics,A02,12-Dec-20,09:30-13:00
12,BHMH2002,Introduction to Economics,A03,12-Dec-20,09:30-13:00
13,BHMH2002,Introduction to Economics,A04,12-Dec-20,09:30-13:00
14,BHMH2002,Introduction to Economics,A05,12-Dec-20,09:30-13:00
15,BHMH2002,Introduction to Economics,A06,12-Dec-20,09:45-13:15
16,BHMH2002,Introduction to Economics,A07,12-Dec-20,09:45-13:15
17,BHMH2002,Introduction to Economics,A08,12-Dec-20,09:45-13:15
18,BHMH2002,Introduction to Economics,A09,12-Dec-20,09:45-13:15
19,BHMH2002,Introduction to Economics,A10,12-Dec-20,09:45-13:15
20,BHMH2002,Introduction to Economics,A11,12-Dec-20,09:45-13:15
21,BHMH2002,Introduction to Economics,A12,12-Dec-20,09:45-13:15
22,BHMH2002,Introduction to Economics,A13,12-Dec-20,09:45-13:15
23,BHMH2002,Introduction to Economics,A14,12-Dec-20,09:45-13:15
24,BHMH2003,Introduction to Marketing,101,20-Dec-20,09:45-13:15
25,BHMH2003,Introduction to Marketing,A01,20-Dec-20,09:45-13:15
26,BHMH2003,Introduction to Marketing,A02,20-Dec-20,09:45-13:15
27,BHMH2003,Introduction to Marketing,A03,20-Dec-20,09:45-13:15
28,BHMH2003,Introduction to Marketing,A04,20-Dec-20,09:45-13:15
29,BHMH2003,Introduction to Marketing,A05,20-Dec-20,09:45-13:15
30,BHMH2003,Introduction to Marketing,A06,20-Dec-20,09:45-13:15
31,BHMH2003,Introduction to Marketing,A07,20-Dec-20,09:45-13:15
32,BHMH2003,Introduction to Marketing,A08,20-Dec-20,10:00-13:30
33,BHMH2003,Introduction to Marketing,A09,20-Dec-20,10:00-13:30
34,BHMH2003,Introduction to Marketing,A10,20-Dec-20,10:00-13:30
35,BHMH2003,Introduction to Marketing,A11,20-Dec-20,10:00-13:30
36,BHMH2003,Introduction to Marketing,A12,20-Dec-20,10:00-13:30
37,BHMH2003,Introduction to Marketing,A13,20-Dec-20,10:00-13:30
38,BHMH2003,Introduction to Marketing,A14,20-Dec-20,10:00-13:30
39,BHMH2003,Introduction to Marketing,A15,20-Dec-20,10:00-13:30
40,BHMH2004,Managing Organisations,101,18-Dec-20,09:30-13:00
41,BHMH2004,Managing Organisations,A01,18-Dec-20,09:30-13:00
42,BHMH2004,Managing Organisations,A02,18-Dec-20,09:30-13:00
43,BHMH2004,Managing Organisations,A03,18-Dec-20,09:30-13:00
44,BHMH2004,Managing Organisations,A04,18-Dec-20,09:30-13:00
45,BHMH2004,Managing Organisations,A05,18-Dec-20,09:30-13:00
46,BHMH2004,Managing Organisations,A06,18-Dec-20,09:30-13:00
47,BHMH2004,Managing Organisations,A07,18-Dec-20,09:30-13:00
48,BHMH2004,Managing Organisations,A08,18-Dec-20,09:30-13:00
49,BHMH2004,Managing Organisations,A09,18-Dec-20,09:45-13:15
50,BHMH2004,Managing Organisations,A10,18-Dec-20,09:45-13:15
51,BHMH2004,Managing Organisations,A11,18-Dec-20,09:45-13:15
52,BHMH2004,Managing Organisations,A12,18-Dec-20,09:45-13:15
53,BHMH2004,Managing Organisations,A13,18-Dec-20,09:45-13:15
54,BHMH2004,Managing Organisations,A14,18-Dec-20,09:45-13:15
55,BHMH2004,Managing Organisations,A15,18-Dec-20,09:45-13:15
56,BHMH2004,Managing Organisations,A16,18-Dec-20,09:45-13:15
57,BHMH2004,Managing Organisations,A17,18-Dec-20,09:45-13:15
58,BHMH2004,Managing Organisations,A18,18-Dec-20,09:45-13:15
59,BHMH2005,Organisational Behaviour,A01,22-Dec-20,14:45-18:00
60,BHMH2005,Organisational Behaviour,A02,22-Dec-20,14:45-18:00
61,BHMH2006,Understanding Globalisation,A01,12-Dec-20,15:15-18:30
62,BHMH2053,Chinese Management Wisdom,A01,16-Dec-20,14:30-17:45
63,BHMH2101,Financial Accounting,A01,16-Dec-20,09:45-13:15
64,BHMH2101,Financial Accounting,A02,16-Dec-20,09:45-13:15
65,BHMH2101,Financial Accounting,A03,16-Dec-20,09:45-13:15
66,BHMH2101,Financial Accounting,A04,16-Dec-20,09:45-13:15
67,BHMH2101,Financial Accounting,A05,16-Dec-20,09:45-13:15
68,BHMH2101,Financial Accounting,A06,16-Dec-20,09:45-13:15
69,BHMH2101,Financial Accounting,A07,16-Dec-20,09:45-13:15
70,BHMH2101,Financial Accounting,A08,16-Dec-20,09:45-13:15
71,BHMH2101,Financial Accounting,A09,16-Dec-20,10:00-13:30
72,BHMH2101,Financial Accounting,A10,16-Dec-20,10:00-13:30
73,BHMH2101,Financial Accounting,A11,16-Dec-20,10:00-13:30
74,BHMH2101,Financial Accounting,A12,16-Dec-20,10:00-13:30
75,BHMH2101,Financial Accounting,A13,16-Dec-20,10:00-13:30
76,BHMH2101,Financial Accounting,A14,16-Dec-20,10:00-13:30
77,BHMH2101,Financial Accounting,A15,16-Dec-20,10:00-13:30
78,BHMH2101,Financial Accounting,A16,16-Dec-20,10:00-13:30
79,BHMH2101,Financial Accounting,A17,16-Dec-20,10:00-13:30
80,BHMH2102,Accounting and Tax Practices in China,A01,22-Dec-20,09:30-12:45
81,BHMH2103,Advertising and Promotion,A01,13-Dec-20,14:45-18:00
82,BHMH2103,Advertising and Promotion,A02,13-Dec-20,14:45-18:00
83,BHMH2103,Advertising and Promotion,A03,13-Dec-20,14:45-18:00
84,BHMH2103,Advertising and Promotion,A04,13-Dec-20,14:45-18:00
85,BHMH2103,Advertising and Promotion,A05,13-Dec-20,14:45-18:00
86,BHMH2104,Attractions Management,A01,18-Dec-20,14:45-18:00
87,BHMH2104,Attractions Management,A02,18-Dec-20,14:45-18:00
88,BHMH2110,Consumer Behaviour,A01,27-Dec-20,14:15-17:30
89,BHMH2111,Cost Accounting,A01,19-Dec-20,09:30-12:45
90,BHMH2111,Cost Accounting,A02,19-Dec-20,09:30-12:45
91,BHMH2111,Cost Accounting,A03,19-Dec-20,09:30-12:45
92,BHMH2112,Customer Relationship Management,A01,19-Dec-20,15:00-18:15
93,BHMH2112,Customer Relationship Management,A02,19-Dec-20,15:00-18:15
94,BHMH2112,Customer Relationship Management,A03,19-Dec-20,15:00-18:15
95,BHMH2113,Financial Management,A01,21-Dec-20,14:45-18:00
96,BHMH2113,Financial Management,A02,21-Dec-20,14:45-18:00
97,BHMH2113,Financial Management,A03,21-Dec-20,14:45-18:00
98,BHMH2113,Financial Management,A04,21-Dec-20,14:45-18:00
99,BHMH2115,Food Service Operations,A01,17-Dec-20,15:00-18:30
100,BHMH2116,Front Office Operations,A01,13-Dec-20,09:30-12:45
101,BHMH2116,Front Office Operations,A02,13-Dec-20,09:30-12:45
102,BHMH2116,Front Office Operations,A03,13-Dec-20,09:30-12:45
103,BHMH2116,Front Office Operations,A04,13-Dec-20,09:30-12:45
104,BHMH2116,Front Office Operations,A05,13-Dec-20,09:30-12:45
