BHMH1021,Personal Financial Planning,12 Dec 2021,Sun,16:00 - 18:00,"HHB-207, WK-SUG16 (Hall)"
BHMH1102,Hotel Operations,17 Dec 2021,Fri,19:30 - 21:30,"WK-SUG16 (Hall), WK-N1011"
BHMH2001,Introduction to Chinese Political and Legal System,11 Dec 2021,Sat,12:30 - 14:30,"WK-N213, WK-N911"
BHMH2002,Introduction to Economics,11 Dec 2021,Sat,09:00 - 11:00,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-101, HHB-201,"
,,,,,"HHB-503, HHB-603, HHB-703, WK-SUG16 (Hall),"
,,,,,"WK-SUG12, WK-N113, WK-S111, WK-N201,"
,,,,,"WK-N213, WK-S202, WK-S213, WK-S215,"
,,,,,"WK-S401, WK-S402, WK-N703, WK-N711,"
,,,,,"WK-S714, WK-S715, WK-N801, WK-N803,"
,,,,,"WK-N811, WK-S801, WK-S812, WK-N903,"
,,,,,"WK-S1001, WK-S1002"
BHMH2003,Introduction to Marketing,20 Dec 2021,Mon,09:00 - 11:00,"HHB-102 (Hall), HHB-UG01, HHB-UG04,"
,,,,,"HHB-101, HHB-201, HHB-503, HHB-603,"
,,,,,"HHB-703, WK-SUG16 (Hall), WK-SUG12,"
,,,,,"WK-N113, WK-S111, WK-N201, WK-N213,"
,,,,,"WK-S202, WK-S213, WK-S215, WK-N703,"
,,,,,"WK-N801, WK-S812, WK-N903, WK-S1002"
BHMH2004,Managing Organisations,15 Dec 2021,Wed,09:00 - 11:00,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-UG10, HHB-101,"
,,,,,"HHB-105, HHB-106, HHB-109, HHB-201,"
,,,,,"HHB-202, HHB-205, HHB-209, HHB-301,"
,,,,,"HHB-302, HHB-303, HHB-305, HHB-306,"
,,,,,"HHB-317, HHB-319, HHB-503, HHB-603,"
,,,,,"HHB-701, HHB-703, HHB-704, HHB-707,"
,,,,,"WK-SUG16 (Hall), WK-SUG12, WK-N113,"
,,,,,"WK-S111, WK-N201, WK-N213, WK-S202,"
,,,,,"WK-S213, WK-S215, WK-S401, WK-N703,"
,,,,,"WK-N801, WK-S812, WK-N903, WK-S1001,"
,,,,,WK-S1002
BHMH2005,Organisational Behaviour,13 Dec 2021,Mon,16:00 - 18:00,"HHB-UG03, WK-N113, WK-S111, WK-N213,
WK-N703"
BHMH2006,Understanding Globalisation,15 Dec 2021,Wed,12:30 - 14:30,"HHB-UG01, WK-SUG16 (Hall), WK-S901"
BHMH2053,Chinese Management Wisdom,12 Dec 2021,Sun,09:00 - 11:00,"WK-SUG16 (Hall), WK-S812"
BHMH2101,Financial Accounting,17 Dec 2021,Fri,09:00 - 11:00,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-101, HHB-201,"
,,,,,"HHB-202, HHB-301, HHB-317, HHB-503,"
,,,,,"HHB-603, HHB-701, HHB-703, WK-SUG16 (Hall),"
,,,,,"WK-SUG12, WK-N113, WK-S111, WK-N201,"
,,,,,"WK-N213, WK-S202, WK-S213, WK-S215,"
,,,,,"WK-S401, WK-S402, WK-S413, WK-N702,"
,,,,,"WK-N703, WK-N711, WK-S701, WK-S714,"
,,,,,"WK-S715, WK-N801, WK-N803, WK-N811,"
,,,,,"WK-S801, WK-S812, WK-N903, WK-S1001,"
,,,,,WK-S1002
BHMH2102,Accounting and Tax Practices in China,15 Dec 2021,Wed,12:30 - 14:30,"WK-N213, WK-S901"
BHMH2103,Advertising and Promotion,20 Dec 2021,Mon,12:30 - 14:30,"HHB-102 (Hall), HHB-UG01, HHB-703,
WK-SUG16 (Hall), WK-N911"
BHMH2104,Attractions Management,21 Dec 2021,Tue,16:00 - 18:00,"HHB-UG01, HHB-207, HHB-503, HHB-603,
HHB-703"
BHMH2105,Business Economics,11 Dec 2021,Sat,12:30 - 14:30,"WK-SUG16 (Hall), WK-SUG12, WK-N201,
WK-S215, WK-N911"
BHMH2109,Compensation and Performance,15 Dec 2021,Wed,12:30 - 14:30,"WK-SUG16 (Hall), WK-S901"
BHMH2110,Consumer Behaviour,19 Dec 2021,Sun,16:00 - 18:00,"HHB-108, WK-SUG16 (Hall)"
BHMH2111,Cost Accounting,18 Dec 2021,Sat,09:00 - 11:00,"WK-SUG16 (Hall), WK-N113, WK-S111,
WK-N201, WK-N213, WK-S215, WK-S812"
BHMH2112,Customer Relationship Management,15 Dec 2021,Wed,16:00 - 18:00,"WK-SUG16 (Hall), WK-N201, WK-S215,
WK-N1011"
BHMH2113,Financial Management,14 Dec 2021,Tue,16:00 - 18:00,"HHB-322, WK-SUG16 (Hall), WK-S202,
WK-S215"
BHMH2115,Food Service Operations,22 Dec 2021,Wed,12:30 - 14:30,"WK-SUG16 (Hall), WK-S812"
BHMH2116,Front Office Operations,14 Dec 2021,Tue,09:00 - 11:00,"HHB-108, WK-SUG16 (Hall), WK-SUG12,
WK-N201, WK-N213, WK-S215"
BHMH2118,Global Transport and Trade Operations,28 Dec 2021,Tue,12:30 - 14:30,WK-SUG16 (Hall)
BHMH2119,Housekeeping Operations,21 Dec 2021,Tue,09:00 - 11:00,"HHB-102 (Hall), HHB-108, WK-SUG16 (Hall),
WK-N201, WK-S215"
BHMH2121,Intermediate Accounting,19 Dec 2021,Sun,12:30 - 14:30,WK-N201
BHMH2122,International Finance,21 Dec 2021,Tue,09:00 - 11:00,"HHB-102 (Hall), HHB-108"
BHMH2123,Introduction to Auditing and Taxation,21 Dec 2021,Tue,16:00 - 18:00,"HHB-102 (Hall), HHB-207, WK-SUG16 (Hall),
WK-N201, WK-S215"
BHMH2127,Introduction to Inventory and Warehousing Management,12 Dec 2021,Sun,09:00 - 11:00,"WK-SUG16 (Hall), WK-S812"
BHMH2129,Introduction to Macroeconomics,23 Dec 2021,Thu,09:00 - 11:00,"WK-SUG16 (Hall), WK-S812"
BHMH2130,Marketing in China,28 Dec 2021,Tue,09:00 - 11:00,WK-SUG16 (Hall)
BHMH2132,Principles of Investments,14 Dec 2021,Tue,09:00 - 11:00,"HHB-108, WK-SUG16 (Hall)"
BHMH2135,Training and Development,23 Dec 2021,Thu,16:00 - 18:00,"WK-SUG16 (Hall), WK-N911"
BHMH2136,Travel Agency Operations,23 Dec 2021,Thu,09:00 - 11:00,"HHB-102 (Hall), WK-SUG16 (Hall), WK-S812"
BHMH2138,The Events Industry,18 Dec 2021,Sat,16:00 - 18:00,"WK-N113, WK-N201, WK-N901, WK-S202"
BHMH2140,Event Sales and Marketing,24 Dec 2021,Fri,12:30 - 14:30,"WK-SUG16 (Hall), WK-S812"
BHMH2143,Introduction to Service Management,22 Dec 2021,Wed,12:30 - 14:30,WK-SUG16 (Hall)
BHMH2144,Principles of Financial Planning,17 Dec 2021,Fri,16:00 - 18:00,HHB-102 (Hall)
BHMH2146,Quality Management of Service Operations,15 Dec 2021,Wed,12:30 - 14:30,WK-N703
BHMH2148,Service Marketing,21 Dec 2021,Tue,16:00 - 18:00,"HHB-207, WK-SUG16 (Hall)"
BHMH2150,Venue Operations,16 Dec 2021,Thu,16:00 - 18:00,"WK-SUG16 (Hall), WK-S812"
BHMH2160,Negotiation Skills,16 Dec 2021,Thu,16:00 - 18:00,"WK-SUG16 (Hall), WK-SUG12, WK-N113,
WK-S111, WK-N201, WK-N213, WK-S202,
WK-S213, WK-N703, WK-S812, WK-N903"
BHMH2162,Service Management in Hospitality and Tourism Industry,16 Dec 2021,Thu,16:00 - 18:00,"WK-S215, WK-S812"
BHMH2316,Introduction to Wines,16 Dec 2021,Thu,09:00 - 11:00,"HHB-322, WK-SUG16 (Hall)"
BHMH2318,Corporate Event Operations,11 Dec 2021,Sat,16:00 - 18:00,"HHB-102 (Hall), WK-N703, WK-S1002"
BHMH2355,Airport Operations Management,17 Dec 2021,Fri,16:00 - 18:00,WK-SUG16 (Hall)
LCH1011,Elementary French,12 Dec 2021,Sun,09:00 - 11:00,"WK-S111, WK-S215"
LCH1019,Japanese I,24 Dec 2021,Fri,09:00 - 11:00,"HHB-102 (Hall), HHB-108, WK-SUG16 (Hall),
WK-S202"
LCH1024,Putonghua for College Students,24 Dec 2021,Fri,09:00 - 11:00,"HHB-102 (Hall), HHB-UG04, HHB-108,
WK-SUG16 (Hall), WK-S202"
LCH1054,Putonghua for Cultural and Communication Purposes,12 Dec 2021,Sun,09:00 - 11:00,"HHB-102 (Hall), HHB-UG01, HHB-UG04,
HHB-UG09, HHB-101, HHB-201, HHB-503,
HHB-603, HHB-703, WK-N201, WK-SUG12,
WK-N213, WK-N901, WK-S213, WK-S812"
LCH1104,Principles of Corporate Communication I,14 Dec 2021,Tue,12:30 - 14:30,"HHB-207, WK-SUG16 (Hall)"
LCH2007,Business Putonghua,24 Dec 2021,Fri,09:00 - 11:00,WK-N213
LCH2016,Grammar in Context,23 Dec 2021,Thu,16:00 - 18:00,"WK-SUG16 (Hall), WK-N911"
LCH2018,Introduction to Chinese Literature,12 Dec 2021,Sun,16:00 - 18:00,WK-SUG16 (Hall)
LCH2019,Introduction to Communication Studies,13 Dec 2021,Mon,16:00 - 18:00,WK-S202
LCH2166,Analysis of English Grammar,21 Dec 2021,Tue,12:30 - 14:30,WK-SUG16 (Hall)
LCH2170,Contrastive Language Studies of English and Chinese,16 Dec 2021,Thu,12:30 - 14:30,HHB-102 (Hall)
LCH2172,Foundations of Linguistics,14 Dec 2021,Tue,12:30 - 14:30,WK-SUG16 (Hall)
LCH2174,Foundations of Translation,11 Dec 2021,Sat,12:30 - 14:30,WK-S1002
LCH2175,Introduction to Phonetics,19 Dec 2021,Sun,16:00 - 18:00,WK-SUG16 (Hall)
LCH2176,Language and Society,17 Dec 2021,Fri,16:00 - 18:00,WK-SUG16 (Hall)
LCH2177,"Languages, Cultures and Communication",18 Dec 2021,Sat,12:30 - 14:30,WK-SUG16 (Hall)
LCH2178,Media Translation,15 Dec 2021,Wed,12:30 - 14:30,"WK-S901, WK-S1002"
LCH2184,The Structure of Modern Chinese,17 Dec 2021,Fri,16:00 - 18:00,"HHB-108, WK-SUG16 (Hall)"
LCH2202,Chinese Film and Fiction,11 Dec 2021,Sat,19:30 - 21:30,"WK-SUG16 (Hall), WK-S901"
LCH2203,Classical Chinese Fiction,23 Dec 2021,Thu,09:00 - 11:00,"HHB-102 (Hall), WK-SUG16 (Hall)"
LCH2205,Culture and Translation,16 Dec 2021,Thu,12:30 - 14:30,"HHB-207, WK-S202"
LCH2208,Japanese III,16 Dec 2021,Thu,12:30 - 14:30,WK-N201
LCH2212,Selected Readings of Hong Kong Fiction,21 Dec 2021,Tue,12:30 - 14:30,HHB-102 (Hall)
LCH2319,Introduction to Modern Chinese Literature,15 Dec 2021,Wed,12:30 - 14:30,"WK-SUG12, WK-N201, WK-N213, WK-S215,
WK-S901"
LCH2325,Selected Readings of Classical and Modern Chinese Prose,13 Dec 2021,Mon,12:30 - 14:30,WK-SUG16 (Hall)
SEHH1007,Information Technology for Business,11 Dec 2021,Sat,16:00 - 18:00,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-UG10, HHB-UG11,"
,,,,,"HHB-101, HHB-106, HHB-201, HHB-302,"
,,,,,"HHB-303, HHB-305, HHB-319, HHB-503,"
,,,,,"HHB-603, HHB-701, HHB-703, HHB-704,"
,,,,,"HHB-707, WK-SUG16 (Hall), WK-SUG12,"
,,,,,"WK-N113, WK-S111, WK-N201, WK-N213,"
,,,,,"WK-S202, WK-S213, WK-S215, WK-S401,"
,,,,,"WK-S402, WK-S413, WK-N702, WK-N703,"
,,,,,"WK-N711, WK-S701, WK-S702, WK-S714,"
,,,,,"WK-S715, WK-N801, WK-N803, WK-N811,"
,,,,,"WK-S801, WK-S803, WK-N903, WK-N1011,"
,,,,,"WK-S1001, WK-S1002"
SEHH1008,Mathematics and Statistics for College Students,13 Dec 2021,Mon,09:00 - 11:00,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-UG10, HHB-UG11,"
,,,,,"HHB-101, HHB-105, HHB-106, HHB-107,"
,,,,,"HHB-108, HHB-109, HHB-201, HHB-202,"
,,,,,"HHB-205, HHB-208, HHB-209, HHB-301,"
,,,,,"HHB-302, HHB-303, HHB-305, HHB-306,"
,,,,,"HHB-307, HHB-308, HHB-314, HHB-315,"
,,,,,"HHB-316, HHB-317, HHB-318, HHB-319,"
,,,,,"HHB-320, HHB-321, HHB-326, HHB-503,"
,,,,,"HHB-603, HHB-701, HHB-703, HHB-704,"
,,,,,"HHB-705, HHB-707, WK-SUG16 (Hall),"
,,,,,"WK-SUG01, WK-SUG12, WK-N101, WK-N102,"
,,,,,"WK-N103, WK-N113, WK-S101, WK-S111,"
,,,,,"WK-N201, WK-N213, WK-S202, WK-S213,"
,,,,,"WK-S215, WK-S401, WK-S402, WK-S403,"
,,,,,"WK-S413, WK-S414, WK-N701, WK-N702,"
,,,,,"WK-N703, WK-N711, WK-S701, WK-S702,"
,,,,,"WK-S704, WK-S713, WK-S714, WK-S715,"
,,,,,"WK-N801, WK-N802, WK-N803, WK-N811,"
,,,,,"WK-S801, WK-S803, WK-S812, WK-S813,"
,,,,,"WK-S814, WK-N903, WK-S902, WK-S903,"
,,,,,"WK-S904, WK-S915, WK-S916, WK-S1001,"
,,,,,"WK-S1002, WK-S1003, WK-S1013, WK-S1014"
SEHH1015,Healthy Living and Common Health Problems,24 Dec 2021,Fri,12:30 - 14:30,"HHB-102 (Hall), WK-S812"
SEHH1028,Elementary Statistics,17 Dec 2021,Fri,12:30 - 14:30,"HHB-102 (Hall), HHB-UG01, HHB-UG04,
HHB-101, HHB-503, HHB-603, HHB-703,
WK-SUG16 (Hall), WK-N201, WK-S202,
WK-S215, WK-N703, WK-N903, WK-N911"
SEHH1034,Information and Communication Technology,15 Dec 2021,Wed,12:30 - 14:30,"HHB-102 (Hall), HHB-UG01, HHB-UG04,
HHB-UG09, HHB-703, WK-S901"
SEHH1045,Calculus,16 Dec 2021,Thu,12:30 - 14:30,"HHB-102 (Hall), HHB-207"
SEHH1048,Introduction to Linear Algebra,14 Dec 2021,Tue,12:30 - 14:30,"HHB-102 (Hall), HHB-207"
SEHH1049,Physics I,21 Dec 2021,Tue,16:00 - 18:00,"HHB-102 (Hall), HHB-UG04, HHB-207"
SEHH1050,Introduction to Probability and Statistics,21 Dec 2021,Tue,12:30 - 14:30,"WK-SUG16 (Hall), WK-S812"
SEHH1068,Foundation Mathematics,12 Dec 2021,Sun,12:30 - 14:30,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-101, HHB-108,"
,,,,,"HHB-201, HHB-305, HHB-503, HHB-603,"
,,,,,"HHB-703, WK-SUG16 (Hall), WK-SUG12,"
,,,,,"WK-N113, WK-N201, WK-N213, WK-S213,"
,,,,,"WK-S215, WK-N911"
SEHH1069,Calculus and Linear Algebra,17 Dec 2021,Fri,19:30 - 21:30,"WK-SUG16 (Hall), WK-SUG12, WK-N113,
WK-S111, WK-N201, WK-N213, WK-S202,
WK-S213, WK-S215, WK-N801, WK-N901,
WK-N903, WK-N1011"
SEHH1106,Foundation Biology,23 Dec 2021,Thu,12:30 - 14:30,"HHB-102 (Hall), HHB-108"
SEHH1107,Foundation Chemistry,20 Dec 2021,Mon,16:00 - 18:00,"WK-SUG16 (Hall), WK-S901"
SEHH1108,Foundation Physics,19 Dec 2021,Sun,12:30 - 14:30,"WK-SUG16 (Hall), WK-S215, WK-N911"
SEHH1109,General Biology,11 Dec 2021,Sat,16:00 - 18:00,"HHB-105, HHB-107, HHB-108, HHB-109,
HHB-202, HHB-205, HHB-209, HHB-301,
HHB-317, HHB-320, HHB-321"
SEHH1110,General Chemistry I,14 Dec 2021,Tue,09:00 - 11:00,"HHB-102 (Hall), HHB-UG04, HHB-108"
SEHH2014,Food Hygiene and Nutritional Health,19 Dec 2021,Sun,12:30 - 14:30,"HHB-102 (Hall), HHB-UG01, HHB-101, HHB-503,
HHB-603, HHB-703, WK-N201, WK-N911"
SEHH2041,Applied Computing,15 Dec 2021,Wed,16:00 - 18:00,"HHB-102 (Hall), HHB-UG01, HHB-UG03,"
,,,,,"HHB-UG04, HHB-UG09, HHB-101, HHB-201,"
,,,,,"HHB-503, HHB-603, HHB-703, WK-SUG12,"
,,,,,"WK-N113, WK-S111, WK-N201, WK-N213,"
,,,,,"WK-S202, WK-S213, WK-S401, WK-S402,"
,,,,,"WK-N703, WK-S714, WK-S715, WK-N801,"
,,,,,"WK-N803, WK-S801, WK-N901, WK-N903,"
,,,,,"WK-N911, WK-N1011, WK-S1001, WK-S1002"
